date	pib
1980Q1	234805,10
1980Q2	233479,20
1980Q3	233381,10
1980Q4	233134,30
1981Q1	234060,00
1981Q2	235316,00
1981Q3	236748,20
1981Q4	238418,10
1982Q1	240112,50
1982Q2	241825,00
1982Q3	241957,50
1982Q4	242945,80
1983Q1	243996,80
1983Q2	244324,40
1983Q3	244669,30
1983Q4	245988,00
1984Q1	247715,00
1984Q2	248277,70
1984Q3	249581,90
1984Q4	249397,70
1985Q1	250470,40
1985Q2	252470,60
1985Q3	253761,20
1985Q4	255018,10
1986Q1	255462,80
1986Q2	258458,70
1986Q3	259765,50
1986Q4	260099,50
1987Q1	260592,30
1987Q2	263612,70
1987Q3	265307,10
1987Q4	269063,40
1988Q1	272525,80
1988Q2	274744,70
1988Q3	278191,60
1988Q4	281088,50
1989Q1	285072,70
1989Q2	287639,30
1989Q3	289683,10
1989Q4	292580,90
1990Q1	295394,30
1990Q2	295689,30
1990Q3	296969,80
1990Q4	297137,70
1991Q1	296611,30
1991Q2	299144,30
1991Q3	300017,40
1991Q4	302019,40
1992Q1	303870,90
1992Q2	303626,70
1992Q3	303475,20
1992Q4	302834,40
1993Q1	300742,50
1993Q2	301079,20
1993Q3	301759,00
1993Q4	302644,70
1994Q1	303955,30
1994Q2	307346,80
1994Q3	309214,50
1994Q4	311709,40
1995Q1	313281,30
1995Q2	314938,50
1995Q3	315332,40
1995Q4	315779,80
1996Q1	317306,30
1996Q2	317618,50
1996Q3	319002,50
1996Q4	319096,00
1997Q1	320806,70
1997Q2	324020,40
1997Q3	326372,70
1997Q4	329519,20
1998Q1	332296,40
1998Q2	335341,20
1998Q3	337464,90
1998Q4	339963,40
1999Q1	341867,40
1999Q2	344837,80
1999Q3	348418,10
1999Q4	352700,90
2000Q1	356647,80
2000Q2	359150,00
2000Q3	360795,40
2000Q4	364226,80
2001Q1	366126,30
2001Q2	367052,90
2001Q3	367701,80
2001Q4	366023,80
2002Q1	368407,90
2002Q2	370275,70
2002Q3	371204,10
2002Q4	370862,00
2003Q1	371788,60
2003Q2	371742,30
2003Q3	374239,00
2003Q4	376608,60
2004Q1	378549,80
2004Q2	381506,70
2004Q3	382922,40
2004Q4	386187,80
2005Q1	386670,60
2005Q2	387938,50
2005Q3	390001,40
2005Q4	392837,50
2006Q1	395578,30
2006Q2	399714,00
2006Q3	399922,70
2006Q4	403411,40
2007Q1	405900,80
2007Q2	407991,80
2007Q3	409751,50
2007Q4	410948,60
2008Q1	412366,20
2008Q2	409915,80
2008Q3	407764,00
2008Q4	401394,80
2009Q1	394632,60
2009Q2	394639,00
2009Q3	395130,90
2009Q4	397220,00
2010Q1	398448,90
2010Q2	401049,90
2010Q3	402679,00
2010Q4	404328,90
2011Q1	407863,80
2011Q2	408072,60
2011Q3	408883,00
2011Q4	408974,70
2012Q1	408845,80
2012Q2	408612,60
2012Q3	409493,80
